Year,Quarter,Month,Day,Sub-to-Quote Ratio
2023,Qtr 3,September,5,0.18
2023,Qtr 3,September,7,0.14
2023,Qtr 3,September,8,0.17
2023,Qtr 3,September,9,0.16
2023,Qtr 3,September,10,0.2
2023,Qtr 3,September,11,0.14
2023,Qtr 3,September,13,0.2
2023,Qtr 3,September,14,0.2
2023,Qtr 3,September,15,0.11
2023,Qtr 3,September,16,0.14
2023,Qtr 3,September,17,0.44
2023,Qtr 3,September,18,0.17
2023,Qtr 3,September,19,0.22
2023,Qtr 3,September,20,0.07
2023,Qtr 3,September,22,0.17
2023,Qtr 3,September,23,0.12
2023,Qtr 3,September,25,0.36
2023,Qtr 3,September,26,0.27
2023,Qtr 3,September,27,0.1
2023,Qtr 3,September,28,0.15
2023,Qtr 3,September,29,0.29
2023,Qtr 3,September,30,0.14
2023,Qtr 4,October,1,0.19
2023,Qtr 4,October,2,0.18
2023,Qtr 4,October,3,0.11
2023,Qtr 4,October,4,0.57
2023,Qtr 4,October,5,0.27
2023,Qtr 4,October,6,0.1
2023,Qtr 4,October,7,0.38
2023,Qtr 4,October,8,0.2
2023,Qtr 4,October,9,0.43
2023,Qtr 4,October,10,0.31
2023,Qtr 4,October,11,0.33
2023,Qtr 4,October,12,0.23
2023,Qtr 4,October,13,0.31
2023,Qtr 4,October,14,0.17
2023,Qtr 4,October,15,0.09
2023,Qtr 4,October,16,0.21
2023,Qtr 4,October,17,0.33
2023,Qtr 4,October,18,0.06
2023,Qtr 4,October,19,0.26
2023,Qtr 4,October,20,0.09
2023,Qtr 4,October,21,0.17
2023,Qtr 4,October,22,0.06
2023,Qtr 4,October,23,0.2
2023,Qtr 4,October,24,0.25
2023,Qtr 4,October,25,0.14
2023,Qtr 4,October,26,0.13
2023,Qtr 4,October,28,0.17
2023,Qtr 4,October,29,0.23
2023,Qtr 4,October,30,0.29
2023,Qtr 4,October,31,0.24
2023,Qtr 4,November,1,0.28
2023,Qtr 4,November,2,0.57
2023,Qtr 4,November,3,0.11
2023,Qtr 4,November,4,0.13
2023,Qtr 4,November,5,0.13
2023,Qtr 4,November,6,0.27
2023,Qtr 4,November,7,0.29
2023,Qtr 4,November,8,0.25
2023,Qtr 4,November,9,0.54
2023,Qtr 4,November,10,0.33
2023,Qtr 4,November,11,0.2
2023,Qtr 4,November,13,0.1
2023,Qtr 4,November,14,0.17
2023,Qtr 4,November,15,0.14
2023,Qtr 4,November,16,0.38
2023,Qtr 4,November,17,0.38
2023,Qtr 4,November,18,0.17
2023,Qtr 4,November,19,0.25
2023,Qtr 4,November,20,0.2
2023,Qtr 4,November,21,0.1
2023,Qtr 4,November,22,0.4
2023,Qtr 4,November,23,0.25
2023,Qtr 4,November,24,1
2023,Qtr 4,November,25,0.38
2023,Qtr 4,November,26,0.25
2023,Qtr 4,November,27,0.27
2023,Qtr 4,November,28,0.2
2023,Qtr 4,November,30,0.16
2023,Qtr 4,December,1,0.25
2023,Qtr 4,December,2,0.14
2023,Qtr 4,December,4,0.4
2023,Qtr 4,December,5,0.33
2023,Qtr 4,December,6,0.25
2023,Qtr 4,December,8,0.38
2023,Qtr 4,December,9,0.14
2023,Qtr 4,December,10,0.3
2023,Qtr 4,December,11,0.15
2023,Qtr 4,December,12,0.25
2023,Qtr 4,December,13,0.18
2023,Qtr 4,December,14,0.33
2023,Qtr 4,December,15,0.19
2023,Qtr 4,December,16,0.21
2023,Qtr 4,December,18,0.36
2023,Qtr 4,December,19,0.43
2023,Qtr 4,December,20,0.33
2023,Qtr 4,December,21,0.17
2023,Qtr 4,December,22,0.18
2023,Qtr 4,December,23,0.25
2023,Qtr 4,December,25,0.17
2023,Qtr 4,December,26,0.2
2023,Qtr 4,December,27,0.2
2023,Qtr 4,December,28,0.57
2023,Qtr 4,December,29,0.27
2023,Qtr 4,December,30,0.13
2023,Qtr 4,December,31,0.1
2024,Qtr 1,January,1,0.16
2024,Qtr 1,January,3,0.2
2024,Qtr 1,January,4,0.3
2024,Qtr 1,January,6,0.11
2024,Qtr 1,January,7,0.33
2024,Qtr 1,January,8,0.2
2024,Qtr 1,January,9,0.38
2024,Qtr 1,January,10,0.25
2024,Qtr 1,January,12,0.11
2024,Qtr 1,January,13,0.14
2024,Qtr 1,January,14,0.2
2024,Qtr 1,January,15,0.37
2024,Qtr 1,January,16,0.22
2024,Qtr 1,January,17,0.14
2024,Qtr 1,January,18,0.18
2024,Qtr 1,January,19,0.08
2024,Qtr 1,January,20,0.67
2024,Qtr 1,January,21,0.4
2024,Qtr 1,January,22,0.38
2024,Qtr 1,January,23,0.63
2024,Qtr 1,January,24,0.27
2024,Qtr 1,January,25,0.47
2024,Qtr 1,January,26,0.15
2024,Qtr 1,January,27,0.25
2024,Qtr 1,January,28,0.14
2024,Qtr 1,January,29,0.5
2024,Qtr 1,January,30,0.24
2024,Qtr 1,January,31,0.15
2024,Qtr 1,February,1,0.21
2024,Qtr 1,February,2,0.13
2024,Qtr 1,February,4,0.5
2024,Qtr 1,February,5,0.17
2024,Qtr 1,February,6,0.4
2024,Qtr 1,February,7,0.31
2024,Qtr 1,February,8,0.4
2024,Qtr 1,February,9,0.23
2024,Qtr 1,February,10,0.19
2024,Qtr 1,February,11,0.33
2024,Qtr 1,February,12,0.33
2024,Qtr 1,February,13,0.5
2024,Qtr 1,February,14,0.11
2024,Qtr 1,February,15,0.08
2024,Qtr 1,February,16,0.29
2024,Qtr 1,February,17,0.5
2024,Qtr 1,February,18,0.25
2024,Qtr 1,February,20,0.2
2024,Qtr 1,February,22,0.17
2024,Qtr 1,February,23,0.2
2024,Qtr 1,February,24,0.22
2024,Qtr 1,February,28,0.14
2024,Qtr 1,February,29,0.12
2024,Qtr 1,March,1,0.18
2024,Qtr 1,March,2,0.22
2024,Qtr 1,March,3,0.71
2024,Qtr 1,March,4,0.1
2024,Qtr 1,March,5,0.11
2024,Qtr 1,March,6,0.29
2024,Qtr 1,March,9,0.5
2024,Qtr 1,March,10,0.15
2024,Qtr 1,March,12,0.6
2024,Qtr 1,March,13,0.29
2024,Qtr 1,March,14,0.09
2024,Qtr 1,March,15,0.17
2024,Qtr 1,March,16,0.33
2024,Qtr 1,March,17,0.25
2024,Qtr 1,March,18,0.25
2024,Qtr 1,March,19,0.3
2024,Qtr 1,March,21,0.5
2024,Qtr 1,March,22,0.43
2024,Qtr 1,March,23,0.38
2024,Qtr 1,March,24,0.14
2024,Qtr 1,March,25,0.13
2024,Qtr 1,March,26,0.14
2024,Qtr 1,March,27,0.25
2024,Qtr 1,March,28,0.38
2024,Qtr 1,March,29,0.33
2024,Qtr 1,March,30,0.5
2024,Qtr 1,March,31,0.19
